model,audio_path,surah,ayah,gold_text,pred_text,gold_compact,pred_compact,cer,char_accuracy,edit_distance,exact,accepted_segment,duration_sec,transcription_time_sec
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_001.wav,2,1,الم,الفلاميم,الم,الفلاميم,1.6666666666666667,0.0,5,False,False,4.083,1.3902342999936081
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب الاريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابالاريبفيههديللمتقين,0.037037037037037035,0.962962962962963,1,False,True,5.138,0.9572778999863658
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,0.0,1.0,0,True,True,7.411,1.4971329999971204
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما ازل من قبلك وبالاخره هم يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماازلمنقبلكوبالاخرههميوقنون,0.019230769230769232,0.9807692307692307,1,False,True,11.972,1.6622347999946214
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,0.0,1.0,0,True,True,9.076,1.146325900015654
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_001.wav,2,1,الم,الم,الم,الم,0.0,1.0,0,True,True,4.055,0.38728250001440756
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب العريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابالعريبفيههديللمتقين,0.07407407407407407,0.9259259259259259,2,False,False,6.416,0.9404691999952774
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويوقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويوقيمونالصلاهوممارزقناهمينفقون,0.02127659574468085,0.9787234042553191,1,False,True,9.517,1.5687640999967698
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,0.0,1.0,0,True,True,12.54,1.6843852000019979
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,0.0,1.0,0,True,True,8.844,1.1420087000005879
